hab_lbl,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Mag from Planet,S. Size from Planet (deg),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable
0,2,4,3,2,18.2179136691,1.7,1.22,0.93,1.14,1.18,94.01602,94.01603,94.01604,793.3,793.3,793.3,829.3,829.3,829.3,1.6,-22.57,2.32,2.22,0.0288,0,0.03,86.8916666667,0,0.64,0.61,3903,0.077981,0.37,4.1862139785,13.7474471831,-31.7,11.343,0.227,0.577,-2.13,-0.17,-0.92,0.3,0.3,0
0,2,4,3,2,18.2179136691,2.58,1.38,0.99,1.36,1.37,198.0276,198.0276,198.0277,955.7,955.7,955.7,993.7,993.7,993.7,2.5,-23.64,2.62,0.96,0.0159,0,0.02,86.8916666667,0,0.58,0.55,3672,0.050063,0.179,4.1862139785,13.7474471831,-32.5,18.6505,0.183,0.47,-2.16,-0.16,-0.87,0.3,0.29,0
0,2,4,3,2,18.2179136691,2.3,1.33,0.97,1.29,1.31,48.13123,48.13124,48.13125,671,671,671,708.5,708.5,708.5,2.2,-22.03,2.53,4.38,0.0454,0,0.05,86.8916666667,0,0.65,0.63,4079,0.099206,-0.11,4.1862139785,13.7474471831,-31,7.4238,0.255,0.643,-2.08,-0.16,-0.75,0.31,0.31,0
0,2,2,3,2,18.2179136691,5.82,1.72,1.13,1.95,1.84,26.14432,26.14432,26.14432,576.1,576.1,576.1,618.2,618.2,618.2,6.6,-21.92,3.28,6.92,0.0616,0,0.06,86.8916666667,0,0.65,0.63,4079,0.099206,-0.11,4.1862139785,13.7474471831,-30.3,5.4697,0.255,0.643,-2,-0.15,-0.25,0.33,0.32,0
0,2,2,3,2,18.2179136691,4.77,1.64,1.09,1.78,1.71,16.55987,16.55987,16.55987,513.9,513.9,513.9,555,555,555,5.2,-21.31,3.11,9.76,0.0774,0,0.08,86.8916666667,0,0.65,0.63,4079,0.099206,-0.11,4.1862139785,13.7474471831,-29.8,4.3525,0.255,0.643,-1.92,-0.15,-0.27,0.34,0.35,0
0,2,2,3,2,18.2179136691,4.77,1.64,1.09,1.78,1.71,8.264898,8.264899,8.264899,432,432,432,473,473,473,5.2,-20.55,3.11,11.33,0.083,0,0.08,86.8916666667,0,0.59,0.57,3745,0.056937,0.11,4.1862139785,13.7474471831,-29,3.6476,0.194,0.499,-1.73,-0.15,-0.14,0.36,0.42,0
0,2,2,3,2,18.2179136691,10.17,1.99,1.28,2.56,2.26,4.836929,4.83693,4.836931,377.8,377.8,377.8,422.8,422.8,422.8,13.1,-20.4,3.79,10.59,0.0727,0,0.07,86.8916666667,0,0.46,0.44,3499,0.025565,0.09,4.1862139785,13.7474471831,-28.4,3.1964,0.131,0.339,-1.56,-0.13,0.52,0.38,0.48,0
0,2,4,3,2,18.2179136691,2.37,1.34,0.97,1.31,1.33,20.47271,20.47272,20.47272,541.9,541.9,541.9,579.5,579.5,579.5,2.3,-21.11,2.55,3.84,0.0365,0,0.04,86.8916666667,0,0.44,0.43,3585,0.027275,-0.32,4.1862139785,13.7474471831,-30,6.2667,0.135,0.349,-1.92,-0.16,-0.63,0.33,0.35,0
0,2,2,3,2,18.2179136691,16.11,2.23,1.45,3.24,2.69,56.84837,56.84837,56.84838,699.6,699.6,699.6,747.1,747.1,747.1,23.4,-23.33,4.24,3.68,0.0408,0,0.04,86.8916666667,0,0.67,0.65,3978,0.094632,0.19,4.1862139785,13.7474471831,-31.1,8.4848,0.25,0.633,-2.09,-0.12,0.24,0.32,0.27,0
0,2,2,3,2,18.2179136691,12.42,2.09,1.35,2.83,2.43,20.28602,20.28602,20.28603,540.7,540.7,540.7,586.8,586.8,586.8,16.8,-22.07,3.98,7.95,0.0683,0,0.07,86.8916666667,0,0.67,0.65,3978,0.094632,0.19,4.1862139785,13.7474471831,-30,5.0655,0.25,0.633,-1.95,-0.13,0.29,0.34,0.31,0
0,2,6,3,3,18.2179136691,0.2,0.64,0.78,0.5,0.56,23.99326,26.02189,28.27068,563.9,575.2,587.5,589.9,601.3,613.6,0.2,-19.74,1.21,7.81,0.0667,0.04,0.07,88.6,20,0.67,0.65,4184,0.11581,-0.064,8.4,13.7474471831,-30.3,5.1884,0.275,0.689,-2,-0.19,-1.28,0.3,0.33,0
0,2,4,3,2,18.2179136691,1.4,1.1,1.06,1.16,1.13,8.179411,8.179411,8.179412,430.8,430.8,430.8,466.5,466.5,466.5,1.5,-19.67,2.09,5.24,0.0441,0,0.04,88.9,0,0.4,0.36,3420,0.015907,-0.1,4.1862139785,9,-29,4.3514,0.103,0.269,-1.71,-0.33,-0.68,0.35,0.45,0
0,2,4,3,2,18.2179136691,0.89,1,0.9,0.9,0.95,4.79462,4.794621,4.794621,377,377,377,410,410,410,0.8,-18.88,1.89,7.78,0.0576,0,0.06,88.8,0,0.4,0.36,3420,0.015907,-0.1,4.1862139785,9,-28.4,3.3312,0.103,0.269,-1.55,-0.21,-0.79,0.36,0.54,0
0,2,4,3,2,18.2179136691,1.3,1.1,0.99,1.08,1.09,3.390143,3.390144,3.390144,345.7,345.7,345.7,380.8,380.8,380.8,1.3,-18.71,2.09,10.12,0.0685,0,0.07,89.4,0,0.4,0.36,3420,0.015907,-0.1,4.1862139785,9,-28.1,2.801,0.103,0.269,-1.42,-0.26,-0.6,0.39,0.61,0
0,2,4,3,2,18.2179136691,2.71,1.4,0.99,1.39,1.39,271.7266,271.7266,271.7266,1034.4,1034.4,1034.4,1072.6,1072.6,1072.6,2.7,-24.02,2.65,2.47,0.0332,0,0.03,88.8,0,0.8,0.74,4950,0.298967,0.07,4.1862139785,10.7,-32.8,11.9912,0.429,1.04,-2.3,-0.16,-0.89,0.29,0.29,0
0,2,4,3,2,18.2179136691,2.3,1.33,0.97,1.3,1.31,66.85909,66.85909,66.8591,728.5,728.5,728.5,766,766,766,2.2,-22.39,2.54,24.7545838359,0.0669,0,0.07,89,0,0.8,0.74,4950,0.298967,0.07,4.1862139785,10.7,-31.3,5.9399,0.429,1.04,-2.19,-0.16,-0.79,0.3,0.31,0
0,2,2,3,1,18.2179136691,1589.7,1.99,200.63,399.98,28.24,20.948,20.948,20.948,545,545,545,633.3,633.3,633.3,318945.4,-22,3.79,6.03,0.0513,0,0.05,89.3,0,0.58,0.54,3810,0.055129,-0.1,4.1862139785,13.9,-30,5.6119,0.191,0.488,-1.94,-0.87,21.65,0.04,0.32,0
0,2,4,2,2,18.2179136691,4.61,1.8,0.79,1.42,1.6,4.104028,4.104029,4.104029,362.6,362.6,362.6,402.1,402.1,402.1,3.6,-20,3.43,20.52,0.1159,0,0.12,89.7,0,0.58,0.54,3810,0.055129,-0.1,4.1862139785,13.9,-28.3,2.4832,0.191,0.488,-1.51,0.24,-0.11,0.4,0.52,0
0,2,4,3,2,3.03,3.03,1.44,1.01,1.46,1.45,3.493732,4.199658,5.093664,348.3,364.1,382.7,387.1,402.9,421.5,3.1,-19.54,2.74,11.44,0.072,0.09,0.07,86.8916666667,60,0.38,0.39,3567,0.021675,-0.32,4.1862139785,8.1,-28.3,2.8723,0.12,0.311,-1.51,-0.16,-0.26,0.39,0.55,0
0,2,2,3,2,8.43,8.43,1.9,1.23,2.33,2.11,8.882277,8.882278,8.88228,439.8,439.8,439.8,483.8,483.8,483.8,10.3,-20.96,3.61,8.78,0.066,0,0.07,86.8916666667,0,0.49,0.53,3520,0.038691,-0.1,4.1862139785,10,-29.1,4.2805,0.161,0.417,-1.74,-0.14,0.21,0.36,0.39,0
0,2,4,3,2,1.18,1.18,1.1,0.9,0.98,1.04,5.536193,7.689316,10.99925,390.8,421.9,464,425,456.2,498.2,1.1,-19.62,2.08,4.72,0.0365,0.17,0.04,86.8916666667,0,0.29,0.29,3382,0.010077,0.09,4.1862139785,9.9,-29,4.3461,0.082,0.215,-1.69,-0.17,-0.76,0.35,0.46,0
0,2,2,3,2,5.3,5.3,1.68,1.11,1.87,1.77,5.840059,6.446419,7.133913,396,405.8,416.4,437.6,447.4,458,5.9,-20.34,3.2,7.37,0.06,0.05,0.06,86.8916666667,309.4,0.48,0.39,3600,0.023178,-0.22,4.1862139785,9.8,-28.8,3.5003,0.124,0.321,-1.65,-0.15,-0.03,0.38,0.45,0
0,2,2,3,2,5.37,5.37,1.69,1.12,1.88,1.78,7.992558,9.351799,11.0135,428.4,445,464.1,470,486.7,505.8,6,-20.76,3.21,8.71,0.0666,0.08,0.07,86.8916666667,288.7,0.52,0.5,3685,0.04136,-0.08,4.1862139785,13.7474471831,-29.2,4.014,0.166,0.427,-1.76,-0.15,-0.1,0.36,0.4,0
0,2,2,3,2,5.4,5.4,1.69,1.12,1.89,1.79,1.98165,2.27422,2.62301,302.3,312.6,324.2,344,354.3,365.9,6,-19.22,3.21,12.92,0.073,0.07,0.07,86.8916666667,235,0.31,0.3,3498,0.01209,-0.135,8,10.6,-27.6,2.1956,0.09,0.233,-1.24,-0.15,0.22,0.44,0.66,0
0,2,4,3,2,1.94,1.94,1.27,0.95,1.2,1.24,8.852251,16.27629,33.34861,439.4,501.5,612.2,476.1,538.2,648.8,1.8,-20.8,2.41,3.15,0.028,0.32,0.03,86.8916666667,236,0.31,0.3,3498,0.01209,-0.135,8,10.6,-29.8,6.0295,0.09,0.233,-1.86,-0.16,-0.68,0.33,0.37,0
0,2,4,3,2,3.02,3.02,1.44,1.01,1.46,1.45,1.646878,2.120652,2.777983,288.6,306.5,328.9,327.4,345.2,367.7,3.1,-18.8,2.74,14.64,0.0784,0.13,0.08,86.8916666667,240,0.3,0.31,3499,0.012924,-0.38,4.1862139785,10.2,-27.6,2.1254,0.093,0.241,-1.19,-0.16,-0.13,0.45,0.72,0
0,2,2,3,2,9.54,9.54,1.96,1.26,2.48,2.21,12.81783,18.83514,28.83528,482.1,526.7,590.4,526.7,571.4,635,12.1,-21.87,3.73,4.48,0.043,0.2,0.04,86.8916666667,334,0.54,0.45,3700,0.034123,0.08,4.1862139785,9.7,-30,5.7202,0.151,0.387,-1.91,-0.14,0.12,0.34,0.32,0
0,2,2,3,2,5.6,5.6,1.71,1.12,1.92,1.81,4.207579,5.418015,7.097418,364.9,387.5,415.8,406.8,429.3,457.7,6.3,-20.19,3.25,7.2,0.0505,0.13,0.05,86.8916666667,5.7,0.33,0.35,3350,0.0137,-0.55,2,10.2,-28.6,3.7066,0.096,0.251,-1.59,-0.15,0.04,0.39,0.47,0
0,1,2,3,2,5.1,5.1,1.67,1.1,1.84,1.75,0.1695281,0.1799281,0.1911438,163.5,165.9,168.5,204.9,207.3,209.9,5.6,-16.42,3.16,91.61,0.276,0.03,0.28,86.8916666667,40.1,0.33,0.35,3350,0.0137,-0.55,2,10.2,-24.9,0.6726,0.096,0.251,1.33,-0.15,0.9,0.38,0.47,0
0,1,4,3,1,4.6,4.6,1.62,1.08,1.75,1.69,0.03897282,0.04560067,0.05370333,113.2,117.6,122.6,154.1,158.5,163.5,5,-14.86,3.08,256.2,0.549,0.08,0.55,86.8916666667,51.6,0.33,0.35,3350,0.0137,-0.55,2,10.2,-23.4,0.3391,0.096,0.251,4.86,-0.15,1.27,0.17,0.33,0
0,2,4,3,2,4.45,4.45,1.6,1.08,1.73,1.67,42.37339,56.67265,77.55215,650,696,756,690.7,736.8,796.7,4.8,-22.62,3.05,3.6,0.0413,0.15,0.04,86.8916666667,315,0.71,0.7,3840,0.095572,0.23,4.1862139785,9.6,-31.1,9.1765,0.252,0.642,-2.08,-0.15,-0.51,0.32,0.3,0
0,2,4,3,2,4.4,4.4,1.6,1.08,1.72,1.66,1.516594,1.774511,2.08982,282.7,293.7,306.3,323.4,334.3,347,4.7,-18.83,3.04,17.48,0.08,0.08,0.08,86.8916666667,85.9,0.27,0.39,3028,0.01132,-0.1280114286,4.1862139785,13.7474471831,-27.4,2.5982,0.087,0.232,-1.1,-0.15,0.14,0.47,0.74,0
0,2,2,3,2,6.99,6.99,1.81,1.18,2.13,1.97,28.95018,33.93901,40.05334,591,614.2,640.9,634,657.2,683.9,8.2,-22.32,3.44,1.94,0.0208,0.08,0.02,50,157.4,0.33,0.36,3350,0.014644,0.05,2.5,10.2,-30.6,9.2611,0.099,0.259,-1.98,-0.14,-0.2,0.33,0.3,0
0,2,4,3,2,18.2179136691,1.62,1.15,1.06,1.22,1.19,18.53447,18.53447,18.53447,528.6,528.6,528.6,564.9,564.9,564.9,1.7,-20.67,2.19,1.63,0.0154,0,0.02,86.8916666667,0,0.18,0.21,3270,0.004396,-0.12,5,13.5,-29.9,7.1679,0.054,0.143,-1.88,-0.31,-0.73,0.33,0.36,0
0,2,4,3,2,2.64,2.64,1.39,0.99,1.37,1.38,1.203076,2.014862,3.640508,266.8,299.3,351.9,304.9,337.4,390,2.6,-18.69,2.64,8.93,0.0476,0.27,0.05,86.8916666667,0,0.18,0.21,3270,0.004396,-0.12,5,13.5,-27.5,2.4071,0.054,0.143,-1.14,-0.16,-0.21,0.46,0.74,0
0,2,4,3,2,4.2,4.2,1.58,1.07,1.68,1.63,10.69665,13.25849,16.63683,460.7,485,514.5,501.2,525.5,554.9,4.5,-21,3,5.97,0.057,0.11,0.06,86.8916666667,0,0.68,0.5,3717,0.042815,-0.3,4.1862139785,11,-29.6,4.7046,0.169,0.433,-1.84,-0.15,-0.3,0.35,0.37,0
0,2,4,3,2,1.78,1.78,1.24,0.94,1.16,1.2,77.91904,112.3704,168.1503,756.9,823.8,917.4,793.1,860,953.6,1.7,-22.81,2.35,1.22,0.0197,0.19,0.02,86.8916666667,0,0.68,0.5,3717,0.042815,-0.3,4.1862139785,11,-31.9,13.8101,0.169,0.433,-2.13,-0.16,-0.93,0.3,0.3,0
0,2,4,3,2,3.27,3.27,1.47,1.02,1.51,1.49,2.141834,3.206822,5.02373,308.2,338.1,381.4,347.4,377.2,420.6,3.4,-19.32,2.8,13.25,0.0821,0.21,0.08,86.8916666667,0,0.42,0.4,3466,0.021133,0.02,4.1862139785,12,-28,2.6824,0.119,0.309,-1.38,-0.16,-0.17,0.42,0.6,0
0,1,4,3,2,2.31,2.31,1.34,0.97,1.3,1.32,0.0578602,0.08036305,0.1149561,125,134.9,148.3,162.4,172.4,185.8,2.2,-15.07,2.54,40.54,0.1264,0.17,0.12,86.8916666667,0,0.16,0.12,3159,0.001265,-0.27,4.1862139785,12.2,-24,0.5091,0.029,0.077,3.08,-0.16,0.45,0.24,0.39,0
0,2,2,3,2,6.6,6.6,1.78,1.16,2.07,1.92,2.13124,3.846028,7.680214,307.8,350.1,424.1,350.5,392.9,466.8,7.7,-19.96,3.39,14.21,0.089,0.31,0.08,86.8916666667,42.3,0.47,0.46,3526,0.028964,-0.09,4.1862139785,12.1,-28.3,2.8785,0.139,0.361,-1.44,-0.14,0.23,0.41,0.53,0
0,2,2,3,2,8.27,8.27,1.89,1.22,2.31,2.09,20.8285,24.37066,28.70102,544.3,565.4,589.7,588.2,609.3,633.6,10.1,-22.05,3.59,2.65,0.0287,0.08,0.03,59,84,0.45,0.43,3314,0.02001,-0.1280114286,4.1862139785,11.9,-30.2,8.0167,0.116,0.304,-1.93,-0.14,-0.03,0.34,0.31,0
